player,pos,age,team_id,g,mp,pts,trb,ast,fg_pct,fg3_pct,efg_pct,stl,blk,tov
Reggie Bullock,SF,32,HOU,44,9.5,2.2,1.7,0.3,.415,.403,.579,0.3,0.1,0.2
Trent Forrest,SG,25,ATL,38,10.9,2.2,1.3,2.4,.378,.200,.389,0.3,0.1,0.5
Nate Hinton,SG,24,HOU,15,5.0,2.2,1.5,0.7,.423,.500,.558,0.2,0.1,0.2
Andre Jackson Jr.,SG,22,MIL,57,10.0,2.2,2.0,0.9,.500,.370,.585,0.3,0.1,0.5
Julian Phillips,SF,20,CHI,40,8.1,2.2,0.9,0.3,.416,.316,.494,0.2,0.2,0.3
Ish Wainright,SF,29,2TM,11,5.6,2.1,1.3,0.1,.292,.350,.438,0.4,0.1,0.2
Ish Wainright,SF,29,POR,7,6.6,2.9,1.3,0.0,.333,.375,.500,0.3,0.1,0.1
Ish Wainright,SF,29,PHO,4,4.0,0.8,1.3,0.3,.167,.250,.250,0.5,0.0,0.3
Colby Jones,SG,21,SAC,30,6.4,2.1,1.3,0.7,.394,.091,.408,0.2,0.2,0.3
Mamadi Diakite,PF,27,2TM,6,4.0,2.0,0.7,0.3,.667,.000,.667,0.2,0.2,0.2
Mamadi Diakite,PF,27,SAS,3,5.3,4.0,1.0,0.7,.800,0.0,.800,0.0,0.3,0.0
Mamadi Diakite,PF,27,NYK,3,2.7,0.0,0.3,0.0,.000,.000,.000,0.3,0.0,0.3
Kobe Brown,PF,24,LAC,44,9.0,2.0,1.4,0.6,.411,.292,.489,0.3,0.1,0.2
JD Davison,SG,21,BOS,8,4.9,2.0,1.3,1.3,.417,.429,.542,0.1,0.1,0.3
Jordan Ford,PG,25,SAC,6,3.7,2.0,0.3,0.3,.571,.667,.714,0.0,0.0,0.2
Kevon Harris,SG,26,ORL,2,3.0,2.0,1.0,0.5,.667,0.0,.667,0.0,0.0,0.5
D'Moi Hodge,SG,25,LAL,7,5.9,2.0,0.0,0.7,.333,.250,.433,0.1,0.1,0.1
Ty Jerome,SG,26,CLE,2,7.5,2.0,0.5,1.5,.500,.000,.500,0.0,0.0,0.5
Markquis Nowell,SG,24,TOR,1,4.0,2.0,2.0,2.0,.000,0.0,.000,1.0,0.0,0.0
Jericho Sims,C,25,NYK,45,13.0,2.0,3.3,0.6,.691,0.0,.691,0.2,0.4,0.4
Lindell Wigginton,PG,25,MIL,3,2.7,2.0,0.0,0.0,.400,.000,.400,0.0,0.0,0.3
Isaiah Wong,SG,23,IND,1,4.0,2.0,0.0,0.0,.333,.000,.333,0.0,0.0,0.0
Justin Minaya,SF,24,POR,34,11.2,1.8,1.6,0.6,.297,.245,.378,0.3,0.3,0.3
Daishen Nix,PG,21,MIN,15,3.3,1.8,0.2,0.4,.375,.353,.500,0.3,0.0,0.3
Cody Zeller,C,31,NOP,43,7.4,1.8,2.6,0.9,.419,.333,.427,0.2,0.1,0.4
Taj Gibson,PF,38,2TM,20,10.2,1.7,1.9,0.6,.405,.200,.432,0.2,0.4,0.3
Taj Gibson,PF,38,NYK,16,10.3,1.0,1.8,0.6,.304,.000,.304,0.1,0.4,0.3
Taj Gibson,PF,38,DET,4,9.8,4.5,2.3,0.5,.571,.500,.643,0.3,0.3,0.0
P.J. Tucker,PF,38,2TM,31,15.7,1.7,2.7,0.5,.360,.371,.490,0.5,0.2,0.3
P.J. Tucker,PF,38,PHI,3,22.0,2.0,4.7,0.0,.400,.400,.600,1.0,0.7,0.7
P.J. Tucker,PF,38,LAC,28,15.0,1.6,2.5,0.6,.356,.367,.478,0.5,0.2,0.2
